"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ath03022","Genetic Information Processing","Transcription","ath03022","Basal transcription factors - Arabidopsis thaliana (thale cress)","45/3500","55/5596",0.818181818181818,1.30815584415584,2.96753675453735,0.00155947335954466,0.0188554506199491,0.01432626244175,"AT1G02680/AT1G03190/AT1G03280/AT1G04950/AT1G05055/AT1G07470/AT1G07480/AT1G12400/AT1G17440/AT1G18040/AT1G18340/AT1G20000/AT1G32750/AT1G54140/AT1G54360/AT1G55520/AT1G55750/AT1G66750/AT1G73690/AT1G73960/AT1G75510/AT3G02160/AT3G10070/AT3G10330/AT3G13445/AT3G19040/AT3G29380/AT3G52270/AT3G57370/AT3G61420/AT4G12610/AT4G17020/AT4G20280/AT4G20330/AT4G20340/AT4G20810/AT4G30820/AT4G34340/AT4G36650/AT5G15570/AT5G25150/AT5G27620/AT5G41360/AT5G41370/AT5G43130",45
"ath01230","Metabolism","Global and overview maps","ath01230","Biosynthesis of amino acids - Arabidopsis thaliana (thale cress)","173/3500","242/5596",0.714876033057851,1.14298465171192,2.93830145282276,0.00176542555637562,0.0195667999164964,0.0148667415273736,"AT1G07780/AT1G08250/AT1G08630/AT1G09795/AT1G10060/AT1G10070/AT1G11790/AT1G12230/AT1G14810/AT1G16300/AT1G17290/AT1G18500/AT1G18640/AT1G22020/AT1G23310/AT1G25220/AT1G29410/AT1G31180/AT1G31230/AT1G31860/AT1G32380/AT1G32440/AT1G32480/AT1G36370/AT1G44180/AT1G44820/AT1G48470/AT1G48850/AT1G48860/AT1G50110/AT1G54340/AT1G55880/AT1G58080/AT1G65930/AT1G66200/AT1G70580/AT1G71100/AT1G71920/AT1G72330/AT1G74040/AT1G75330/AT1G78050/AT1G79530/AT1G80560/AT1G80600/AT2G01290/AT2G04400/AT2G05710/AT2G13810/AT2G17130/AT2G17265/AT2G17630/AT2G17640/AT2G19940/AT2G21170/AT2G21330/AT2G21940/AT2G22250/AT2G22480/AT2G22910/AT2G27820/AT2G29560/AT2G29690/AT2G30970/AT2G31810/AT2G35390/AT2G36530/AT2G36580/AT2G37500/AT2G39800/AT2G42790/AT2G43090/AT2G44040/AT2G44350/AT2G44530/AT2G45290/AT2G45300/AT2G45440/AT3G03630/AT3G06350/AT3G07630/AT3G10050/AT3G14390/AT3G17820/AT3G19480/AT3G22460/AT3G22960/AT3G23940/AT3G29200/AT3G44720/AT3G48560/AT3G49680/AT3G50520/AT3G52930/AT3G52990/AT3G53580/AT3G54640/AT3G55440/AT3G55610/AT3G57050/AT3G58610/AT3G58740/AT3G58750/AT3G59760/AT3G59890/AT3G60880/AT4G01850/AT4G02610/AT4G08870/AT4G08900/AT4G13430/AT4G13930/AT4G14880/AT4G14910/AT4G17830/AT4G19710/AT4G24830/AT4G26270/AT4G26520/AT4G26900/AT4G26970/AT4G29220/AT4G29840/AT4G31990/AT4G32520/AT4G32840/AT4G33510/AT4G33680/AT4G34200/AT4G35260/AT4G35640/AT4G35830/AT4G37670/AT4G37930/AT4G39120/AT4G39540/AT5G03290/AT5G05590/AT5G05730/AT5G08570/AT5G10240/AT5G10330/AT5G10920/AT5G11520/AT5G13280/AT5G13420/AT5G14060/AT5G14590/AT5G16290/AT5G17920/AT5G17990/AT5G19550/AT5G20980/AT5G26780/AT5G28020/AT5G28030/AT5G28237/AT5G34930/AT5G35630/AT5G44520/AT5G48220/AT5G52920/AT5G53460/AT5G54810/AT5G56350/AT5G56630/AT5G61410/AT5G61580/AT5G63680/AT5G63890/AT5G65010/AT5G65780/AT5G66120",173
"ath00020","Metabolism","Carbohydrate metabolism","ath00020","Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)","51/3500","64/5596",0.796875,1.27408928571429,2.84957038631755,0.00238277309693587,0.0243075210848155,0.0184687140810628,"AT1G04410/AT1G09430/AT1G10670/AT1G24180/AT1G30120/AT1G32480/AT1G34430/AT1G48030/AT1G53240/AT1G54220/AT1G54340/AT1G59900/AT1G65930/AT2G05710/AT2G17130/AT2G20420/AT2G22780/AT2G34590/AT2G42790/AT2G44350/AT2G47510/AT3G13930/AT3G15020/AT3G16950/AT3G17240/AT3G25860/AT3G27380/AT3G52200/AT3G55410/AT3G58740/AT3G58750/AT4G16155/AT4G26910/AT4G26970/AT4G35260/AT4G35830/AT5G03290/AT5G08300/AT5G09600/AT5G09660/AT5G14590/AT5G23250/AT5G40650/AT5G49460/AT5G50850/AT5G55070/AT5G56720/AT5G65165/AT5G65690/AT5G65750/AT5G66760",51
"ath03460","Genetic Information Processing","Replication and repair","ath03460","Fanconi anemia pathway - Arabidopsis thaliana (thale cress)","38/3500","46/5596",0.826086956521739,1.3207950310559,2.82291944587681,0.00259259517352801,0.0243075210848155,0.0184687140810628,"AT1G08390/AT1G10930/AT1G20720/AT1G20750/AT1G35530/AT1G48360/AT1G49980/AT1G60930/AT1G67500/AT1G78790/AT2G06510/AT2G21800/AT2G22140/AT2G32000/AT2G45280/AT3G02920/AT3G05090/AT3G05210/AT3G24515/AT3G48470/AT3G52630/AT4G00020/AT4G02460/AT4G09140/AT4G14970/AT4G30870/AT4G35740/AT5G01630/AT5G08020/AT5G20850/AT5G40820/AT5G41150/AT5G44740/AT5G44750/AT5G45400/AT5G49110/AT5G63540/AT5G63920",38
"ath03440","Genetic Information Processing","Replication and repair","ath03440","Homologous recombination - Arabidopsis thaliana (thale cress)","48/3500","60/5596",0.8,1.27908571428571,2.80836543726654,0.00274144974640776,0.0243075210848155,0.0184687140810628,"AT1G04020/AT1G07745/AT1G09815/AT1G10930/AT1G20720/AT1G20750/AT1G50840/AT1G60930/AT1G64750/AT1G77320/AT1G78650/AT1G79050/AT1G80210/AT2G01440/AT2G06510/AT2G16390/AT2G19490/AT2G21450/AT2G21800/AT2G22140/AT2G31970/AT2G32000/AT2G45280/AT3G02680/AT3G02920/AT3G06820/AT3G19210/AT3G20540/AT3G24340/AT3G32920/AT3G42670/AT3G48190/AT3G52630/AT4G00020/AT4G02110/AT4G21070/AT4G30870/AT4G32960/AT4G35740/AT5G01630/AT5G08020/AT5G20420/AT5G20850/AT5G42470/AT5G45400/AT5G54260/AT5G63920/AT5G63960",48
"ath00220","Metabolism","Amino acid metabolism","ath00220","Arginine biosynthesis - Arabidopsis thaliana (thale cress)","32/3500","38/5596",0.842105263157895,1.34640601503759,2.76857555562462,0.00311437059511116,0.0258882055718615,0.0196697090217547,"AT1G17290/AT1G23310/AT1G29900/AT1G44180/AT1G44820/AT1G48470/AT1G51720/AT1G66200/AT1G67550/AT1G70580/AT1G72330/AT1G75330/AT1G80600/AT2G19940/AT2G22910/AT2G30970/AT2G37500/AT3G17820/AT3G27740/AT3G47450/AT4G08870/AT4G08900/AT4G17830/AT4G24830/AT4G31990/AT4G37670/AT5G07440/AT5G10920/AT5G11520/AT5G18170/AT5G19550/AT5G35630",32
"ath00513","Metabolism","Glycan biosynthesis and metabolism","ath00513","Various types of N-glycan biosynthesis - Arabidopsis thaliana (thale cress)","29/3500","34/5596",0.852941176470588,1.36373109243697,2.74879797164061,0.00332324159145085,0.0259994783331155,0.0197542534228657,"AT1G02145/AT1G05590/AT1G16570/AT1G16900/AT1G26810/AT1G30000/AT1G32210/AT1G34130/AT1G49710/AT1G65590/AT1G71990/AT1G76400/AT1G78800/AT2G01720/AT2G05320/AT2G35520/AT2G40190/AT2G47760/AT3G19280/AT3G21160/AT3G55260/AT4G16710/AT4G21150/AT4G29870/AT4G38240/AT5G14950/AT5G19690/AT5G55500/AT5G66680",29
"ath00280","Metabolism","Amino acid metabolism","ath00280","Valine, leucine and isoleucine degradation - Arabidopsis thaliana (thale cress)","42/3500","52/5596",0.807692307692308,1.29138461538462,2.72769060268033,0.00359614911459442,0.0265715462356144,0.0201889073100038,"AT1G03090/AT1G04710/AT1G06550/AT1G10060/AT1G10070/AT1G23800/AT1G44170/AT1G48030/AT1G50110/AT1G54100/AT1G55510/AT1G71180/AT2G14170/AT2G26800/AT2G33150/AT2G38400/AT3G06810/AT3G06850/AT3G13450/AT3G16170/AT3G16950/AT3G17240/AT3G24360/AT3G45300/AT3G48000/AT3G49680/AT3G60510/AT4G11820/AT4G13360/AT4G16155/AT4G16800/AT4G29120/AT4G31810/AT4G34030/AT4G34240/AT4G39660/AT5G09300/AT5G34780/AT5G47720/AT5G48230/AT5G48880/AT5G65780",42
"ath04814","Cellular Processes","Cell motility","ath04814","Motor proteins - Arabidopsis thaliana (thale cress)","63/3500","82/5596",0.768292682926829,1.22839024390244,2.69208967301879,0.00400658631927101,0.0280461042348971,0.0213092679584497,"AT1G04160/AT1G04600/AT1G04820/AT1G08730/AT1G17580/AT1G21730/AT1G49240/AT1G50010/AT1G54560/AT1G59540/AT1G64740/AT1G71790/AT2G20290/AT2G21300/AT2G21380/AT2G28620/AT2G29550/AT2G31900/AT2G33240/AT2G36200/AT2G37420/AT3G05520/AT3G10180/AT3G12020/AT3G16060/AT3G16630/AT3G17360/AT3G18780/AT3G19050/AT3G20150/AT3G23670/AT3G43210/AT3G44050/AT3G51150/AT3G53750/AT3G58160/AT3G61650/AT4G14150/AT4G14960/AT4G15930/AT4G24170/AT4G27360/AT4G27370/AT4G28710/AT4G33200/AT4G38950/AT4G39050/AT5G05620/AT5G06670/AT5G09810/AT5G19770/AT5G19780/AT5G20490/AT5G23860/AT5G23910/AT5G42490/AT5G43900/AT5G44340/AT5G54280/AT5G59370/AT5G62690/AT5G62700/AT5G66310",63
"ath01250","Metabolism","Global and overview maps","ath01250","Biosynthesis of nucleotide sugars - Arabidopsis thaliana (thale cress)","75/3500","100/5596",0.75,1.19914285714286,2.59644902189708,0.00536340215820603,0.0356666243520701,0.0270992951151463,"AT1G01220/AT1G05610/AT1G06020/AT1G08200/AT1G12780/AT1G16340/AT1G17890/AT1G23190/AT1G27680/AT1G30620/AT1G31070/AT1G47840/AT1G50390/AT1G50460/AT1G53000/AT1G53500/AT1G63180/AT1G64440/AT1G66430/AT1G70730/AT1G74910/AT1G78570/AT1G79500/AT2G04650/AT2G19800/AT2G19860/AT2G21590/AT2G27860/AT2G28760/AT2G31390/AT2G35020/AT2G39770/AT2G45790/AT3G02230/AT3G03250/AT3G06580/AT3G08900/AT3G10700/AT3G14790/AT3G20040/AT3G23820/AT3G24090/AT3G29360/AT3G42850/AT3G46440/AT3G51160/AT3G53520/AT3G59480/AT4G00110/AT4G10260/AT4G10960/AT4G12250/AT4G16130/AT4G24620/AT4G26260/AT4G29130/AT4G30570/AT4G33030/AT4G37840/AT4G39210/AT5G15490/AT5G15650/AT5G15770/AT5G16510/AT5G17310/AT5G18070/AT5G19220/AT5G28840/AT5G39320/AT5G42740/AT5G44480/AT5G48300/AT5G51820/AT5G52560/AT5G66280",75
"ath03250","Genetic Information Processing","Information processing in viruses","ath03250","Viral life cycle - HIV-1 - Arabidopsis thaliana (thale cress)","32/3500","39/5596",0.82051282051282,1.31188278388278,2.52546838205918,0.00696300753052748,0.0440990476933407,0.0335062016506586,"AT1G08270/AT1G12930/AT1G13190/AT1G15130/AT1G16710/AT1G27630/AT1G35440/AT1G55970/AT1G67220/AT1G79000/AT2G18040/AT2G19830/AT2G27600/AT2G38830/AT3G03110/AT3G12980/AT3G17590/AT3G54610/AT4G08350/AT4G19560/AT4G19600/AT5G09260/AT5G17020/AT5G20010/AT5G40270/AT5G40290/AT5G45190/AT5G55080/AT5G55670/AT5G62600/AT5G63670/AT5G63880",32
"ath00230","Metabolism","Nucleotide metabolism","ath00230","Purine metabolism - Arabidopsis thaliana (thale cress)","71/3500","95/5596",0.747368421052632,1.19493533834586,2.47611028918094,0.00770151017352362,0.0465591296853928,0.0353753577348453,"AT1G09830/AT1G14230/AT1G17750/AT1G23190/AT1G26160/AT1G27450/AT1G30110/AT1G31220/AT1G32380/AT1G36280/AT1G54130/AT1G63660/AT1G67550/AT1G70730/AT1G72880/AT1G73080/AT1G74260/AT1G79470/AT2G02220/AT2G14750/AT2G16570/AT2G23820/AT2G26230/AT2G35040/AT2G35390/AT2G37250/AT2G38280/AT2G39270/AT2G41880/AT2G42070/AT2G44530/AT3G01820/AT3G03900/AT3G04080/AT3G09820/AT3G14050/AT3G17470/AT3G21110/AT3G27060/AT3G55010/AT3G57550/AT3G57610/AT4G02260/AT4G04955/AT4G09320/AT4G11010/AT4G11980/AT4G12440/AT4G12720/AT4G13720/AT4G17050/AT4G18440/AT4G20070/AT4G23900/AT4G24730/AT4G25434/AT4G34740/AT4G34890/AT4G34900/AT4G38880/AT5G03300/AT5G18280/AT5G35170/AT5G43600/AT5G43780/AT5G47840/AT5G50370/AT5G51820/AT5G60340/AT5G63310/AT5G63400",71
